Date,Open,High,Low,Close,Volume,rsi,adx_pos,adx_neg,macd,gdp_indicator
1/24/2008,1340.130005,1355.150024,1334.310059,1352.069946,5735300000,38.23913099,14.03715568,35.52127886,-6.708289196,#N/A
1/25/2008,1357.319946,1368.560059,1327.5,1330.609985,4882250000,34.90572887,15.74872141,32.2565551,-5.708375941,#N/A
1/28/2008,1330.699951,1353.969971,1322.26001,1353.959961,4100930000,40.93861978,14.63038031,31.13941491,-3.022788877,#N/A
1/29/2008,1355.939941,1364.930054,1350.189941,1362.300049,4232960000,42.97164347,16.68062345,30.07046133,-0.372443457,#N/A
1/30/2008,1362.219971,1385.859985,1352.949951,1355.810059,4742760000,41.76680669,20.25784045,27.77770947,1.171305631,2
1/31/2008,1351.97998,1385.619995,1334.079956,1378.550049,4970290000,47.33830499,17.94963869,28.78433324,3.803255122,#N/A
2/1/2008,1378.599976,1396.02002,1375.930054,1395.420044,4650770000,51.07783027,19.49329989,27.4704247,6.59601864,#N/A
2/4/2008,1395.380005,1395.380005,1379.689941,1380.819946,3495780000,47.90718415,18.77081443,26.45228089,7.319794534,#N/A
2/5/2008,1380.280029,1380.280029,1336.640015,1336.640015,4315740000,39.84669189,16.87864705,33.60833349,4.804428347,#N/A
2/6/2008,1339.47998,1351.959961,1324.339966,1326.449951,4008120000,38.24820701,15.80594261,34.30264741,2.548894024,#N/A
2/7/2008,1324.01001,1347.160034,1316.75,1336.910034,4589160000,40.87039697,14.69832871,33.64786675,1.886490777,#N/A
2/8/2008,1336.880005,1341.219971,1321.060059,1331.290039,3768490000,39.89030369,13.99801772,32.04469326,1.226862782,#N/A
2/11/2008,1331.920044,1341.400024,1320.319946,1339.130005,3593140000,41.98053891,13.28522981,30.59173734,1.459740046,#N/A
2/12/2008,1340.550049,1362.099976,1339.359985,1348.859985,4044640000,44.55731887,17.61739503,28.86682993,2.35710378,#N/A
2/13/2008,1353.119995,1369.22998,1350.780029,1367.209961,3856420000,49.14453768,18.50572734,27.39181111,4.168649105,#N/A
2/14/2008,1367.329956,1368.160034,1347.310059,1348.859985,3644760000,45.12388635,17.51897865,26.81864776,4.1066152,#N/A
2/15/2008,1347.52002,1350,1338.130005,1349.98999,3583300000,45.42001748,16.96439328,28.41791142,4.10731709,#N/A
2/19/2008,1355.859985,1367.280029,1345.050049,1348.780029,3613550000,45.13913178,20.61137315,26.71243276,3.988611208,#N/A
2/20/2008,1348.390015,1363.709961,1336.550049,1360.030029,3870520000,48.33815992,19.10293279,27.0478896,4.587360351,#N/A
2/21/2008,1362.209961,1367.939941,1339.339966,1342.530029,3696660000,44.03647911,18.77243041,24.97512108,3.75919563,#N/A
2/22/2008,1344.219971,1354.300049,1327.040039,1353.109985,3572660000,47.10142319,17.40344836,26.4442454,3.863511934,#N/A
2/25/2008,1352.75,1374.359985,1346.030029,1371.800049,3866350000,52.09289942,21.43329265,24.448802,5.055583229,#N/A
2/26/2008,1371.76001,1387.339966,1363.290039,1381.290039,4096060000,54.44348046,23.53308048,22.87102234,6.268298055,#N/A
2/27/2008,1378.949951,1388.339966,1372,1380.02002,3904700000,54.0611928,22.74793505,21.83978371,6.729413925,1
2/28/2008,1378.160034,1378.160034,1363.160034,1367.680054,3938580000,50.36097909,21.66257364,23.29939813,5.973473869,#N/A
2/29/2008,1364.069946,1364.069946,1325.420044,1330.630005,4426730000,41.23521981,19.19093177,30.83037715,2.903779838,#N/A
3/3/2008,1330.449951,1335.130005,1320.040039,1331.339966,4117570000,41.45414782,18.3843167,31.03307132,0.947925381,#N/A
3/4/2008,1329.579956,1331.030029,1307.390015,1326.75,4757180000,40.40607711,17.15209592,32.49325928,-0.547656345,#N/A
3/5/2008,1327.689941,1344.189941,1320.219971,1333.699951,4277710000,42.76566531,19.69545575,30.30404069,-0.938648412,#N/A
